t,eyebrows_interp,pitch
1.484,0.6956394502607538,146.42199918908128
1.486,0.6840063986564492,144.8465040614979
1.488,0.6723733470521446,144.7476681507985
1.49,0.66074029544784,144.67980741382615
1.492,0.6491072438435354,144.6329151189933
1.494,0.6374741922392306,144.59261964617656
1.496,0.625841140634926,144.54385544188935
1.498,0.6142080890306214,144.47620924303044
1.5,0.6025750374263168,144.38661198644257
1.502,0.5922345471113855,144.27776663116748
1.504,0.5818940567964541,144.15443150676353
1.506,0.5715535664815228,144.02205704247655
1.508,0.5612130761665914,143.8869212504432
1.51,0.5508725858516601,143.75647738630218
1.512,0.5405320955367288,143.63892857361253
1.514,0.5301916052217974,143.5419131557858
1.516,0.5198511149068662,143.47154266230672
1.518,0.5095106245919349,143.431940668908
1.52,0.4991701342770035,143.42505970103258
1.522,0.4888296439620722,143.45077254607227
1.524,0.47848915364714084,143.50739612844382
1.526,0.4681486633322095,143.5916841444742
1.528,0.45780817301727816,143.6982654478174
1.53,0.4474676827023468,143.8202402898611
1.532,0.4371271923874155,143.95061423204933
1.534,0.43195694722994865,144.08325745154772
1.536,0.43712719238741254,144.21331090409166
1.538,0.4422974375448764,144.3373423187437
1.54,0.4474676827023403,144.45330650923074
1.542,0.4526379278598041,144.55950821600908
1.544,0.457808173017268,144.6534752858771
1.546,0.46297841817473184,144.73172577391466
1.548,0.46814866333219574,144.7906060533459
1.55,0.47331890848965963,144.82735090969092
1.552,0.47848915364712347,144.84050318131594
1.554,0.4836593988045873,144.83078772863735
1.556,0.4888296439620512,144.80142572460647
1.558,0.4939998891195151,144.75687562177092
1.56,0.4991701342769789,144.7014339911582
1.562,0.5043403794344428,144.63902790087468
1.564,0.5095106245919067,144.57345657204073
1.566,0.5146808697493706,144.50793159526538
1.568,0.5164042848018583,144.44480015716198
1.57,0.5164042848018583,144.38552288843758
1.572,0.5164042848018583,144.33069446214634
1.574,0.5164042848018583,144.27957490764018
1.576,0.5164042848018583,144.2310525979774
1.578,0.5164042848018583,144.18551377330078
1.58,0.5164042848018583,144.1451178656414
1.582,0.5164042848018583,144.11302920490854
1.584,0.5164042848018583,144.09286997400662
1.586,0.5164042848018583,144.08801783033834
1.588,0.5164042848018583,144.10059104614575
1.59,0.5164042848018583,144.13095379388065
1.592,0.5164042848018583,144.17865297122813
1.594,0.5164042848018583,144.24264244365637
1.596,0.5164042848018583,144.32152501025018
1.598,0.5164042848018583,144.41438889860086
1.6,0.5164042848018583,144.52097526090665
1.602,0.5319150202742645,144.6411699134688
1.604,0.5474257557466709,144.7744702533518
1.606,0.5629364912190771,144.92024509410498
1.608,0.5784472266914834,145.07775411683156
1.61,0.5939579621638896,145.24629148058526
1.612,0.609468697636296,145.42537481658854
1.614,0.6249794331087022,145.6141713177414
1.616,0.6404901685811085,145.81121381208015
1.618,0.6560009040535147,146.01435638372564
1.62,0.6715116395259211,146.22127378107947
1.622,0.6870223749983273,146.42922847894965
1.624,0.7025331104707336,146.6355493706148
1.626,0.7180438459431382,146.8383886403902
1.628,0.7335545814155444,147.03612795335786
1.63,0.7490653168879507,147.22751977856194
1.632,0.764576052360357,147.412416618399
1.634,0.777070811490906,147.59133570008095
1.636,0.7835336179377395,147.76443432992292
1.638,0.7899964243845728,147.93160890706343
1.64,0.7964592308314064,148.0927170167675
1.642,0.8029220372782399,148.24672710142977
1.644,0.8093848437250732,148.3924050771802
1.646,0.8158476501719067,148.52998572262024
1.648,0.8223104566187401,148.66145856091276
1.65,0.8287732630655736,148.78946510010664
1.652,0.835236069512407,148.91687907838562
1.654,0.8416988759592405,149.04642176275777
1.656,0.8481616824060739,149.17930340235932
1.658,0.8546244888529074,149.31515559481377
1.66,0.8610872952997408,149.45298869856634
1.662,0.8675501017465743,149.5915058282522
1.664,0.8740129081934078,149.7299497821917
1.666,0.8804757146402412,149.86885271016945
1.668,0.8765980307721433,150.01036357236487
